grid_id,lat,lon,check_dams,storage,width
0,22.185,70.885,0,0,15
1,22.185,70.895,0,0,15
2,22.185,70.905,0,0,15
3,22.185,70.915,0,0,15
4,22.185,70.925,0,0,15
5,22.185,70.935,0,0,15
6,22.185,70.945,0,0,15
7,22.185,70.955,0,0,15
8,22.185,70.965,0,0,15
9,22.185,70.975,0,0,15
10,22.185,70.985,0,0,15
11,22.185,70.995,0,0,15
12,22.185,71.005,0,0,15
13,22.185,71.015,0,0,15
14,22.185,71.025,0,0,15
15,22.185,71.035,0,0,15
16,22.185,71.045,0,0,15
17,22.185,71.055,0,0,15
18,22.185,71.065,0,0,15
19,22.185,71.075,0,0,15
20,22.185,71.085,0,0,15
21,22.185,71.095,0,0,15
22,22.185,71.105,0,0,15
23,22.185,71.115,0,0,15
24,22.185,71.125,0,0,15
25,22.185,71.135,0,0,15
26,22.185,71.145,0,0,15
27,22.185,71.155,0,0,15
28,22.185,71.165,0,0,15
29,22.185,71.175,0,0,15
30,22.185,71.185,0,0,15
31,22.185,71.195,0,0,15
32,22.185,71.205,0,0,15
33,22.185,71.215,0,0,15
34,22.185,71.225,0,0,15
35,22.185,71.235,0,0,15
36,22.185,71.245,0,0,15
37,22.185,71.255,0,0,15
38,22.185,71.265,0,0,15
39,22.185,71.275,0,0,15
40,22.185,71.285,0,0,15
41,22.185,71.295,0,0,15
42,22.185,71.305,0,0,15
43,22.185,71.315,0,0,15
44,22.175,70.885,0,0,15
45,22.175,70.895,0,0,15
46,22.175,70.905,0,0,15
47,22.175,70.915,0,0,15
48,22.175,70.925,0,0,15
49,22.175,70.935,0,0,15
50,22.175,70.945,0,0,15
51,22.175,70.955,0,0,15
52,22.175,70.965,0,0,15
53,22.175,70.975,0,0,15
54,22.175,70.985,0,0,15
55,22.175,70.995,0,0,15
56,22.175,71.005,1,12402,15
57,22.175,71.015,0,0,15
58,22.175,71.025,1,12402,15
59,22.175,71.035,0,0,15
60,22.175,71.045,0,0,15
61,22.175,71.055,0,0,15
62,22.175,71.065,0,0,15
63,22.175,71.075,0,0,15
64,22.175,71.085,0,0,15
65,22.175,71.095,0,0,15
66,22.175,71.105,0,0,15
67,22.175,71.115,0,0,15
68,22.175,71.125,0,0,15
69,22.175,71.135,0,0,15
70,22.175,71.145,0,0,15
71,22.175,71.155,0,0,15
72,22.175,71.165,0,0,15
73,22.175,71.175,0,0,15
74,22.175,71.185,0,0,15
75,22.175,71.195,0,0,15
76,22.175,71.205,1,41456,15
77,22.175,71.215,0,0,15
78,22.175,71.225,0,0,15
79,22.175,71.235,0,0,15
80,22.175,71.245,0,0,15
81,22.175,71.255,0,0,15
82,22.175,71.265,0,0,15
83,22.175,71.275,0,0,15
84,22.175,71.285,0,0,15
85,22.175,71.295,0,0,15
86,22.175,71.305,0,0,15
87,22.175,71.315,0,0,15
88,22.165,70.885,0,0,15
89,22.165,70.895,0,0,15
90,22.165,70.905,0,0,15
91,22.165,70.915,0,0,15
92,22.165,70.925,0,0,15
93,22.165,70.935,0,0,15
94,22.165,70.945,0,0,15
95,22.165,70.955,1,5950,15
96,22.165,70.965,0,0,15
97,22.165,70.975,0,0,15
98,22.165,70.985,1,5950,15
99,22.165,70.995,0,0,15
100,22.165,71.005,1,12402,15
101,22.165,71.015,0,0,15
102,22.165,71.025,0,0,15
103,22.165,71.035,0,0,15
104,22.165,71.045,0,0,15
105,22.165,71.055,0,0,15
106,22.165,71.065,0,0,15
107,22.165,71.075,0,0,15
108,22.165,71.085,0,0,15
109,22.165,71.095,0,0,15
110,22.165,71.105,0,0,15
111,22.165,71.115,0,0,15
112,22.165,71.125,0,0,15
113,22.165,71.135,0,0,15
114,22.165,71.145,0,0,15
115,22.165,71.155,0,0,15
116,22.165,71.165,0,0,15
117,22.165,71.175,0,0,15
118,22.165,71.185,0,0,15
119,22.165,71.195,0,0,15
120,22.165,71.205,0,0,15
121,22.165,71.215,0,0,15
122,22.165,71.225,0,0,15
123,22.165,71.235,0,0,15
124,22.165,71.245,0,0,15
125,22.165,71.255,0,0,15
126,22.165,71.265,0,0,15
127,22.165,71.275,0,0,15
128,22.165,71.285,0,0,15
129,22.165,71.295,0,0,15
130,22.165,71.305,0,0,15
131,22.165,71.315,0,0,15
132,22.155,70.885,0,0,15
133,22.155,70.895,0,0,15
134,22.155,70.905,0,0,15
135,22.155,70.915,0,0,15
136,22.155,70.925,0,0,15
137,22.155,70.935,0,0,15
138,22.155,70.945,0,0,15
139,22.155,70.955,1,5950,15
140,22.155,70.965,0,0,15
141,22.155,70.975,1,10583.125,15
142,22.155,70.985,1,10583.125,15
143,22.155,70.995,1,10583.125,15
144,22.155,71.005,1,10583.125,15
145,22.155,71.015,1,12402,15
146,22.155,71.025,0,0,15
147,22.155,71.035,0,0,15
148,22.155,71.045,0,0,15
149,22.155,71.055,0,0,15
150,22.155,71.065,0,0,15
151,22.155,71.075,0,0,15
152,22.155,71.085,0,0,15
153,22.155,71.095,0,0,15
154,22.155,71.105,1,33980,15
155,22.155,71.115,0,0,15
156,22.155,71.125,0,0,15
157,22.155,71.135,0,0,15
158,22.155,71.145,0,0,15
159,22.155,71.155,0,0,15
160,22.155,71.165,0,0,15
161,22.155,71.175,0,0,15
162,22.155,71.185,0,0,15
163,22.155,71.195,0,0,15
164,22.155,71.205,1,41456,15
165,22.155,71.215,1,41456,15
166,22.155,71.225,1,41456,15
167,22.155,71.235,0,0,15
168,22.155,71.245,0,0,15
169,22.155,71.255,0,0,15
170,22.155,71.265,0,0,15
171,22.155,71.275,0,0,15
172,22.155,71.285,0,0,15
173,22.155,71.295,0,0,15
174,22.155,71.305,0,0,15
175,22.155,71.315,0,0,15
176,22.145,70.885,0,0,15
177,22.145,70.895,0,0,15
178,22.145,70.905,0,0,15
179,22.145,70.915,0,0,15
180,22.145,70.925,0,0,15
181,22.145,70.935,0,0,15
182,22.145,70.945,0,0,15
183,22.145,70.955,0,0,15
184,22.145,70.965,0,0,15
185,22.145,70.975,1,10583.125,15
186,22.145,70.985,0,0,15
187,22.145,70.995,1,10583.125,15
188,22.145,71.005,1,10583.125,15
189,22.145,71.015,1,12402,15
190,22.145,71.025,0,0,15
191,22.145,71.035,0,0,15
192,22.145,71.045,0,0,15
193,22.145,71.055,0,0,15
194,22.145,71.065,0,0,15
195,22.145,71.075,0,0,15
196,22.145,71.085,0,0,15
197,22.145,71.095,0,0,15
198,22.145,71.105,1,33980,15
199,22.145,71.115,1,33980,15
200,22.145,71.125,0,0,15
201,22.145,71.135,0,0,15
202,22.145,71.145,0,0,15
203,22.145,71.155,0,0,15
204,22.145,71.165,0,0,15
205,22.145,71.175,0,0,15
206,22.145,71.185,1,41456,15
207,22.145,71.195,0,0,15
208,22.145,71.205,0,0,15
209,22.145,71.215,0,0,15
210,22.145,71.225,0,0,15
211,22.145,71.235,0,0,15
212,22.145,71.245,0,0,15
213,22.145,71.255,0,0,15
214,22.145,71.265,0,0,15
215,22.145,71.275,0,0,15
216,22.145,71.285,0,0,15
217,22.145,71.295,0,0,15
218,22.145,71.305,0,0,15
219,22.145,71.315,0,0,15
220,22.135,70.885,0,0,15
221,22.135,70.895,0,0,15
222,22.135,70.905,0,0,15
223,22.135,70.915,0,0,15
224,22.135,70.925,0,0,15
225,22.135,70.935,0,0,15
226,22.135,70.945,1,6690,15
227,22.135,70.955,0,0,15
228,22.135,70.965,0,0,15
229,22.135,70.975,1,10583.125,15
230,22.135,70.985,1,10583.125,15
231,22.135,70.995,1,10583.125,15
232,22.135,71.005,1,10583.125,15
233,22.135,71.015,1,10583.125,15
234,22.135,71.025,0,0,15
235,22.135,71.035,0,0,15
236,22.135,71.045,1,9438.333333,15
237,22.135,71.055,1,9438.333333,15
238,22.135,71.065,0,0,15
239,22.135,71.075,1,52525,15
240,22.135,71.085,0,0,15
241,22.135,71.095,0,0,15
242,22.135,71.105,0,0,15
243,22.135,71.115,0,0,15
244,22.135,71.125,0,0,15
245,22.135,71.135,0,0,15
246,22.135,71.145,0,0,15
247,22.135,71.155,0,0,15
248,22.135,71.165,0,0,15
249,22.135,71.175,0,0,15
250,22.135,71.185,0,0,15
251,22.135,71.195,0,0,15
252,22.135,71.205,0,0,15
253,22.135,71.215,0,0,15
254,22.135,71.225,0,0,15
255,22.135,71.235,0,0,15
256,22.135,71.245,0,0,15
257,22.135,71.255,0,0,15
258,22.135,71.265,0,0,15
259,22.135,71.275,0,0,15
260,22.135,71.285,0,0,15
261,22.135,71.295,0,0,15
262,22.135,71.305,0,0,15
263,22.135,71.315,0,0,15
264,22.125,70.885,0,0,15
265,22.125,70.895,0,0,15
266,22.125,70.905,0,0,15
267,22.125,70.915,0,0,15
268,22.125,70.925,0,0,15
269,22.125,70.935,0,0,15
270,22.125,70.945,1,6690,15
271,22.125,70.955,1,6690,15
272,22.125,70.965,1,10583.125,15
273,22.125,70.975,0,0,15
274,22.125,70.985,0,0,15
275,22.125,70.995,1,10583.125,15
276,22.125,71.005,1,10583.125,15
277,22.125,71.015,0,0,15
278,22.125,71.025,0,0,15
279,22.125,71.035,0,0,15
280,22.125,71.045,1,9438.333333,15
281,22.125,71.055,1,9438.333333,15
282,22.125,71.065,0,0,15
283,22.125,71.075,0,0,15
284,22.125,71.085,0,0,15
285,22.125,71.095,0,0,15
286,22.125,71.105,0,0,15
287,22.125,71.115,0,0,15
288,22.125,71.125,0,0,15
289,22.125,71.135,0,0,15
290,22.125,71.145,0,0,15
291,22.125,71.155,0,0,15
292,22.125,71.165,0,0,15
293,22.125,71.175,0,0,15
294,22.125,71.185,0,0,15
295,22.125,71.195,0,0,15
296,22.125,71.205,0,0,15
297,22.125,71.215,0,0,15
298,22.125,71.225,1,21520,15
299,22.125,71.235,0,0,15
300,22.125,71.245,0,0,15
301,22.125,71.255,0,0,15
302,22.125,71.265,0,0,15
303,22.125,71.275,0,0,15
304,22.125,71.285,0,0,15
305,22.125,71.295,0,0,15
306,22.125,71.305,0,0,15
307,22.125,71.315,0,0,15
308,22.115,70.885,0,0,15
309,22.115,70.895,0,0,15
310,22.115,70.905,0,0,15
311,22.115,70.915,0,0,15
312,22.115,70.925,0,0,15
313,22.115,70.935,0,0,15
314,22.115,70.945,1,6690,15
315,22.115,70.955,1,20585.71429,15
316,22.115,70.965,1,10583.125,15
317,22.115,70.975,1,20585.71429,15
318,22.115,70.985,1,31120,15
319,22.115,70.995,0,0,15
320,22.115,71.005,0,0,15
321,22.115,71.015,0,0,15
322,22.115,71.025,0,0,15
323,22.115,71.035,1,32155,15
324,22.115,71.045,1,9438.333333,15
325,22.115,71.055,1,9438.333333,15
326,22.115,71.065,0,0,15
327,22.115,71.075,0,0,15
328,22.115,71.085,1,52525,15
329,22.115,71.095,0,0,15
330,22.115,71.105,0,0,15
331,22.115,71.115,0,0,15
332,22.115,71.125,1,35360,15
333,22.115,71.135,0,0,15
334,22.115,71.145,0,0,15
335,22.115,71.155,0,0,15
336,22.115,71.165,0,0,15
337,22.115,71.175,0,0,15
338,22.115,71.185,0,0,15
339,22.115,71.195,0,0,15
340,22.115,71.205,1,21520,15
341,22.115,71.215,0,0,15
342,22.115,71.225,0,0,15
343,22.115,71.235,0,0,15
344,22.115,71.245,0,0,15
345,22.115,71.255,0,0,15
346,22.115,71.265,0,0,15
347,22.115,71.275,0,0,15
348,22.115,71.285,0,0,15
349,22.115,71.295,0,0,15
350,22.115,71.305,0,0,15
351,22.115,71.315,1,18096.66667,15
352,22.105,70.885,0,0,15
353,22.105,70.895,0,0,15
354,22.105,70.905,0,0,15
355,22.105,70.915,0,0,15
356,22.105,70.925,0,0,15
357,22.105,70.935,0,0,15
358,22.105,70.945,0,0,15
359,22.105,70.955,0,0,15
360,22.105,70.965,1,20585.71429,15
361,22.105,70.975,1,20585.71429,15
362,22.105,70.985,1,31120,15
363,22.105,70.995,1,31120,15
364,22.105,71.005,1,31120,15
365,22.105,71.015,1,31120,15
366,22.105,71.025,1,32155,15
367,22.105,71.035,1,18299.23077,15
368,22.105,71.045,1,18299.23077,15
369,22.105,71.055,0,0,15
370,22.105,71.065,0,0,15
371,22.105,71.075,1,18299.23077,15
372,22.105,71.085,1,9205,15
373,22.105,71.095,0,0,15
374,22.105,71.105,1,35360,15
375,22.105,71.115,1,35360,15
376,22.105,71.125,0,0,15
377,22.105,71.135,0,0,15
378,22.105,71.145,0,0,15
379,22.105,71.155,0,0,15
380,22.105,71.165,0,0,15
381,22.105,71.175,0,0,15
382,22.105,71.185,0,0,15
383,22.105,71.195,0,0,15
384,22.105,71.205,0,0,15
385,22.105,71.215,0,0,15
386,22.105,71.225,0,0,15
387,22.105,71.235,0,0,15
388,22.105,71.245,0,0,15
389,22.105,71.255,0,0,15
390,22.105,71.265,0,0,15
391,22.105,71.275,0,0,15
392,22.105,71.285,0,0,15
393,22.105,71.295,0,0,15
394,22.105,71.305,0,0,15
395,22.105,71.315,1,18096.66667,15
396,22.095,70.885,0,0,15
397,22.095,70.895,0,0,15
398,22.095,70.905,0,0,15
399,22.095,70.915,0,0,15
400,22.095,70.925,0,0,15
401,22.095,70.935,0,0,15
402,22.095,70.945,0,0,15
403,22.095,70.955,0,0,15
404,22.095,70.965,1,20585.71429,15
405,22.095,70.975,1,20585.71429,15
406,22.095,70.985,1,31960,15
407,22.095,70.995,1,31960,15
408,22.095,71.005,1,31120,15
409,22.095,71.015,1,31120,15
410,22.095,71.025,0,0,15
411,22.095,71.035,1,18299.23077,15
412,22.095,71.045,0,0,15
413,22.095,71.055,1,18299.23077,15
414,22.095,71.065,0,0,15
415,22.095,71.075,1,18299.23077,15
416,22.095,71.085,1,9205,15
417,22.095,71.095,1,35360,15
418,22.095,71.105,1,35360,15
419,22.095,71.115,1,35360,15
420,22.095,71.125,0,0,15
421,22.095,71.135,0,0,15
422,22.095,71.145,0,0,15
423,22.095,71.155,1,33980,15
424,22.095,71.165,1,33980,15
425,22.095,71.175,0,0,15
426,22.095,71.185,0,0,15
427,22.095,71.195,0,0,15
428,22.095,71.205,0,0,15
429,22.095,71.215,0,0,15
430,22.095,71.225,0,0,15
431,22.095,71.235,0,0,15
432,22.095,71.245,0,0,15
433,22.095,71.255,0,0,15
434,22.095,71.265,0,0,15
435,22.095,71.275,0,0,15
436,22.095,71.285,0,0,15
437,22.095,71.295,0,0,15
438,22.095,71.305,0,0,15
439,22.095,71.315,1,18096.66667,15
440,22.085,70.885,0,0,15
441,22.085,70.895,0,0,15
442,22.085,70.905,0,0,15
443,22.085,70.915,0,0,15
444,22.085,70.925,0,0,15
445,22.085,70.935,0,0,15
446,22.085,70.945,0,0,15
447,22.085,70.955,0,0,15
448,22.085,70.965,0,0,15
449,22.085,70.975,1,20585.71429,15
450,22.085,70.985,1,31960,15
451,22.085,70.995,0,0,15
452,22.085,71.005,1,140703.3333,15
453,22.085,71.015,1,140703.3333,15
454,22.085,71.025,0,0,15
455,22.085,71.035,1,18299.23077,15
456,22.085,71.045,1,18299.23077,15
457,22.085,71.055,0,0,15
458,22.085,71.065,1,18299.23077,15
459,22.085,71.075,0,0,15
460,22.085,71.085,0,0,15
461,22.085,71.095,0,0,15
462,22.085,71.105,1,35360,15
463,22.085,71.115,0,0,15
464,22.085,71.125,1,35360,15
465,22.085,71.135,0,0,15
466,22.085,71.145,0,0,15
467,22.085,71.155,0,0,15
468,22.085,71.165,0,0,15
469,22.085,71.175,1,33980,15
470,22.085,71.185,0,0,15
471,22.085,71.195,0,0,15
472,22.085,71.205,1,35255,15
473,22.085,71.215,1,15800,15
474,22.085,71.225,0,0,15
475,22.085,71.235,1,15800,15
476,22.085,71.245,1,33520,15
477,22.085,71.255,1,33520,15
478,22.085,71.265,1,33520,15
479,22.085,71.275,0,0,15
480,22.085,71.285,0,0,15
481,22.085,71.295,0,0,15
482,22.085,71.305,0,0,15
483,22.085,71.315,1,5095,15
484,22.075,70.885,0,0,15
485,22.075,70.895,0,0,15
486,22.075,70.905,0,0,15
487,22.075,70.915,0,0,15
488,22.075,70.925,0,0,15
489,22.075,70.935,0,0,15
490,22.075,70.945,0,0,15
491,22.075,70.955,0,0,15
492,22.075,70.965,1,27260.90909,15
493,22.075,70.975,1,37095,15
494,22.075,70.985,1,37095,15
495,22.075,70.995,1,37095,15
496,22.075,71.005,1,37095,15
497,22.075,71.015,1,140703.3333,15
498,22.075,71.025,0,0,15
499,22.075,71.035,1,18299.23077,15
500,22.075,71.045,1,18299.23077,15
501,22.075,71.055,0,0,15
502,22.075,71.065,0,0,15
503,22.075,71.075,0,0,15
504,22.075,71.085,0,0,15
505,22.075,71.095,0,0,15
506,22.075,71.105,0,0,15
507,22.075,71.115,0,0,15
508,22.075,71.125,0,0,15
509,22.075,71.135,1,35110,15
510,22.075,71.145,0,0,15
511,22.075,71.155,0,0,15
512,22.075,71.165,1,35110,15
513,22.075,71.175,0,0,15
514,22.075,71.185,1,35255,15
515,22.075,71.195,0,0,15
516,22.075,71.205,0,0,15
517,22.075,71.215,1,15800,15
518,22.075,71.225,1,15800,15
519,22.075,71.235,0,0,15
520,22.075,71.245,1,33520,15
521,22.075,71.255,1,33520,15
522,22.075,71.265,1,33520,15
523,22.075,71.275,1,5095,15
524,22.075,71.285,0,0,15
525,22.075,71.295,0,0,15
526,22.075,71.305,0,0,15
527,22.075,71.315,0,0,15
528,22.065,70.885,0,0,15
529,22.065,70.895,0,0,15
530,22.065,70.905,0,0,15
531,22.065,70.915,0,0,15
532,22.065,70.925,0,0,15
533,22.065,70.935,0,0,15
534,22.065,70.945,0,0,15
535,22.065,70.955,0,0,15
536,22.065,70.965,1,27260.90909,15
537,22.065,70.975,1,27260.90909,15
538,22.065,70.985,1,27260.90909,15
539,22.065,70.995,1,37095,15
540,22.065,71.005,1,25910,15
541,22.065,71.015,1,25910,15
542,22.065,71.025,0,0,15
543,22.065,71.035,0,0,15
544,22.065,71.045,1,18299.23077,15
545,22.065,71.055,1,18299.23077,15
